wall_time,step,value,match,infeasible_match,mismatch,notinstock,total_removed
1600602940.225188,10721,-87286.6015625,2434,66,5933,2160,0
1600602959.1658082,18099,-51442.8984375,2471,29,3522,1356,1
1600602975.174062,24372,-42284.80078125,2452,48,2818,955,0
1600602990.103848,29954,-33302.6015625,2474,26,2231,851,13
1600603006.052833,35392,-30941.69921875,2484,16,1799,1139,11
1600603018.256247,39695,-18640.599609375,2494,6,1183,620,26
1600603029.468576,44006,-20021.80078125,2482,18,992,819,36
1600603038.58922,47418,-9770.2998046875,2497,3,593,319,60
1600603047.424681,50826,-9650.2001953125,2498,2,416,492,62
1600603056.0817401,54166,-9170.400390625,2496,4,507,333,62
1600603066.92485,58471,-19651.5,2486,14,387,1418,35
1600603078.4021041,62882,-22493.400390625,2468,32,361,1550,23
1600603089.341121,67088,-21504.30078125,2459,41,318,1388,39
1600603096.842828,70139,-7371.7001953125,2483,17,189,362,41
1600603107.7156181,74251,-16870.5,2499,1,206,1406,50
1600603121.2249339,79228,-26961.900390625,2497,3,208,2269,54
1600603129.480154,82389,-8721.7998046875,2483,17,139,522,56
1600603138.384671,85833,-11461.7001953125,2486,14,185,759,57
1600603146.236949,88952,-6880.2001953125,2500,0,137,482,74
1600603155.787761,92663,-14361.7998046875,2486,14,83,1128,70
1600603168.0456939,97280,-23061.5,2491,9,160,1957,64
1600603175.2615218,100102,-3900.300048828125,2498,2,52,270,63
1600603183.673998,103376,-10922.7001953125,2476,24,77,697,73
1600603191.240389,106334,-5260.10009765625,2499,1,67,391,83
1600603199.363331,109518,-8000.7998046875,2492,8,73,611,61
1600603206.935894,112451,-5861.2998046875,2487,13,86,347,48
1600603216.094165,115893,-10520.7998046875,2493,7,71,871,55
1600603225.817986,119434,-12111.2998046875,2488,12,33,1008,65
1600603235.072642,123095,-12630.7998046875,2493,7,31,1130,47
1600603243.6738718,126345,-8470.7001953125,2496,4,54,696,52
1600603250.926564,129182,-4330.89990234375,2491,9,52,285,31
1600603258.818291,132324,-7410.89990234375,2491,9,73,569,34
1600603267.3732018,135519,-8151.2001953125,2488,12,70,625,25
1600603275.18074,138165,-1740.300048828125,2497,3,49,97,23
1600603282.693825,140692,-240.0,2500,0,27,0,22
1600603289.757667,143294,-950.0,2500,0,27,75,18
1600603296.6218429,145909,-1100.0,2500,0,22,93,20
1600603305.360559,148841,-4390.10009765625,2500,0,14,418,22
1600603313.271637,151554,-2180.10009765625,2500,0,11,202,20
1600603321.344508,154289,-3451.10009765625,2490,10,16,219,25
1600603329.682591,157108,-3960.699951171875,2495,5,7,312,32
1600603339.043149,160374,-7550.0,2500,0,11,755,14
1600603347.4607081,163292,-4360.2001953125,2500,0,15,403,23
1600603355.403401,165832,-450.0,2500,0,10,30,30
1600603366.043597,169229,-9070.2001953125,2500,0,6,891,15
1600603373.133595,171852,-1250.0,2500,0,8,115,27
1600603386.400861,176138,-18741.0,2500,0,8,1778,13
1600603394.901629,178712,-980.0,2500,0,7,67,49
1600603402.327036,181228,-89.99999237060547,2500,0,7,9,18
1600603410.163973,183818,-870.0,2500,0,6,84,22
1600603417.5244281,186428,-1110.0999755859375,2500,0,7,103,16
1600603424.470429,188973,-450.0,2500,0,8,37,25
1600603431.284698,191519,-470.0,2500,0,3,43,26
1600603438.232113,194071,-570.0,2500,0,11,41,30
1600603446.806697,196689,-1140.0,2500,0,8,110,21
1600603456.761249,199898,-7340.2001953125,2500,0,10,699,30
1600603464.158345,202408,-59.99999237060547,2500,0,4,6,21
1600603471.439117,204913,6.377696990966797e-06,2500,0,5,0,20
1600603479.071501,207420,-29.999996185302734,2500,0,7,0,21
1600603486.052414,209923,20.00000762939453,2500,0,3,0,20
1600603492.383192,212425,30.000009536743164,2500,0,2,0,20
1600603502.120106,216099,-12510.7998046875,2500,0,3,1171,22
1600603509.7810712,219026,-4180.0,2500,0,1,426,16
1600603516.537189,221579,-480.0,2500,0,4,49,20
1600603523.5588732,224147,-620.0,2500,0,6,62,19
1600603530.470295,226764,-1150.0,2500,0,3,114,23
1600603537.992505,229344,-710.0,2500,0,4,76,16
1600603547.052683,232262,-4240.10009765625,2500,0,4,414,21
1600603563.766449,237843,-33512.80078125,2500,0,4,3077,15
1600603570.295815,240347,-39.99999237060547,2500,0,4,0,25
1600603577.597931,242989,-1320.0,2500,0,1,141,15
1600603585.354582,245756,-2570.0,2500,0,2,265,15
1600603593.1141021,248425,-1680.0999755859375,2500,0,1,168,14
1600603600.663319,250929,60.00000762939453,2500,0,4,0,15
1600603608.1581671,253478,-400.0,2500,0,2,47,16
1600603615.483242,256007,-189.99998474121094,2500,0,6,23,15
1600603622.787872,258632,-1290.0,2500,0,2,123,29
1600603630.593673,261182,-470.0,2500,0,2,48,22
1600603638.733102,263876,-1910.0,2500,0,2,192,22
1600603645.6234,266494,-1190.0,2500,0,0,118,26
1600603652.38145,269029,-270.0,2500,0,0,35,17
1600603659.3889432,271718,-1820.0,2500,0,1,188,18
1600603666.550574,274310,-850.0,2500,0,3,89,18
1600603673.032156,276813,-19.999990463256836,2500,0,0,3,24
1600603681.528516,279872,-5890.39990234375,2500,0,0,559,15
1600603688.5303402,282395,-239.99998474121094,2500,0,0,23,26
1600603697.0866911,285577,-6890.0,2500,0,2,680,32
1600603705.078262,288537,-4560.0,2500,0,0,460,21
1600603712.539262,291313,-2770.10009765625,2500,0,1,275,16
1600603719.8908641,293818,-9.999991416931152,2500,0,2,3,21
1600603726.912218,296320,-29.999990463256836,2500,0,2,0,26
1600603733.279972,298825,-9.999993324279785,2500,0,0,5,21
1600603739.982753,301326,40.00000762939453,2500,0,1,0,20
