wall_time,step,value,match,infeasible_match,mismatch,notinstock,total_removed
1600668102.676464,11069,-87813.6015625,2464,36,5952,2489,5
1600668124.389854,20313,-73266.0,2440,60,4245,2499,7
1600668140.427166,26870,-46405.69921875,2443,57,2960,1097,38
1600668155.077537,32765,-37672.80078125,2472,28,2422,973,117
1600668167.935542,38142,-32743.5,2465,35,2092,785,72
1600668180.4911308,43360,-31653.69921875,2463,37,1762,956,102
1600668396.570286,48404,-30654.5,2455,45,1510,1034,96
1600668407.1038878,52985,-24222.599609375,2474,26,1109,972,106
1600668416.5187578,56813,-17002.30078125,2477,23,925,403,167
1600668425.2183712,60380,-14782.2001953125,2478,22,720,347,216
1600668434.4453871,64210,-18472.69921875,2473,27,624,706,272
1600668443.989367,68176,-18722.5,2475,25,631,835,181
1600668454.199633,72149,-17381.69921875,2483,17,702,771,120
1600668463.997379,75922,-16592.400390625,2476,24,593,680,171
1600668473.1969101,79508,-13881.2998046875,2487,13,562,524,197
1600668480.999416,82637,-9950.599609375,2494,6,405,224,331
1600668488.260809,85621,-8261.0,2490,10,339,145,267
1600668495.267406,88540,-6430.7001953125,2493,7,299,120,179
1600668503.529968,91849,-10481.0,2490,10,281,528,164
1600668510.980164,94732,-5800.5,2496,4,185,198,172
1600668518.093759,97423,-3240.300048828125,2497,3,126,65,128
1600668524.913213,100053,-2400.0,2500,0,115,15,135
1600668533.514519,103407,-10750.7998046875,2496,4,137,717,166
1600668542.260988,106831,-11070.5,2498,2,107,817,158
1600668549.209867,109622,-5740.0,2500,0,98,193,308
1600668556.772513,112643,-9320.400390625,2499,1,82,439,396
1600668564.446409,115726,-8420.400390625,2496,4,131,452,244
1600668570.6819851,118273,-3270.0,2500,0,38,9,305
1600668576.594346,120815,-2890.0,2500,0,41,1,272
1600668583.261516,123397,-2790.0,2500,0,37,45,222
1600668589.263467,125936,-2120.0,2500,0,38,1,198
1600668595.5555751,128480,-2090.0,2500,0,40,4,190
1600668601.81112,131012,-1770.0,2500,0,32,0,170
1600668608.230471,133545,-1590.0,2500,0,28,5,151
1600668614.487583,136098,-2530.0,2500,0,26,27,225
1600668620.667773,138654,-3520.0,2500,0,31,25,321
1600668626.937662,141230,-2510.0,2500,0,34,42,200
1600668633.3067782,143784,-1520.0,2500,0,39,15,123
1600668639.785491,146535,-4780.0,2500,0,20,231,252
1600668646.362029,149237,-7130.39990234375,2497,3,23,179,496
1600668653.4206028,151946,-5590.10009765625,2500,0,26,183,365
1600668659.39658,154468,-2870.0,2500,0,18,4,290
1600668665.7481642,156997,-1690.0,2500,0,21,8,165
1600668671.9690418,159512,-770.0,2500,0,15,0,87
1600668678.568033,162213,-2980.39990234375,2497,3,22,179,82
1600668685.586842,165075,-4260.2998046875,2498,2,41,321,59
1600668692.102633,167802,-2880.5,2495,5,67,160,36
1600668698.326356,170350,-950.0,2500,0,35,13,72
1600668705.3266292,173172,-4480.39990234375,2496,4,34,288,111
1600668712.197515,175964,-3890.300048828125,2497,3,21,271,92
1600668719.2714958,178917,-5280.2998046875,2497,3,34,419,70
1600668726.156227,181666,-3110.60009765625,2494,6,24,225,27
1600668733.094877,184485,-3570.0,2500,0,39,280,63
1600668739.2562702,187088,-1320.199951171875,2498,2,21,82,34
1600668746.158602,189948,-3790.0,2500,0,19,341,44
1600668753.112869,192667,-3841.0,2490,10,30,189,90
1600668759.320031,195223,-1290.0,2500,0,44,12,98
1600668765.5146508,197871,-1890.0999755859375,2499,1,30,118,56
1600668771.898144,200417,-970.0999755859375,2499,1,22,24,66
1600668779.836511,203526,-6550.0,2500,0,38,571,71
1600668786.080833,206114,-1240.0,2500,0,16,72,61
1600668792.282736,208733,-1730.199951171875,2498,2,21,98,59
1600668799.069543,211542,-4600.5,2495,5,36,273,126
1600668805.691288,214228,-4010.0,2500,0,39,147,240
1600668811.978195,216762,-2090.0,2500,0,12,22,200
1600668818.549948,219511,-4130.0,2500,0,25,224,189
1600668825.1529841,222156,-2410.0,2500,0,15,130,121
1600668835.13275,226212,-16430.19921875,2500,0,15,1541,92
1600668842.1474812,229010,-4420.0,2500,0,21,277,169
1600668848.44675,231613,-1960.0,2500,0,18,85,118
1600668856.5230122,234993,-9650.2001953125,2500,0,20,860,90
1600668863.736814,237867,-4850.0,2500,0,21,353,136
1600668870.384038,240519,-1960.0,2500,0,24,128,69
1600668876.661015,243113,-1330.0,2500,0,16,78,64
1600668882.584333,245628,-820.0,2500,0,15,0,92
1600668888.823377,248136,-620.0,2500,0,8,0,79
1600668895.032862,250666,-1520.0,2500,0,18,12,147
1600668901.334097,253227,-1140.0,2500,0,16,45,78
1600668907.952857,255974,-2760.0,2500,0,23,224,54
1600668914.191396,258498,-490.0,2500,0,21,3,50
1600668920.370253,261025,-580.0,2500,0,12,15,56
1600668927.297693,263697,-2440.199951171875,2498,2,12,160,77
1600668934.953176,266680,-5470.39990234375,2496,4,13,470,49
1600668941.29558,269214,-560.0999755859375,2499,1,4,30,37
1600668947.2459142,271723,-189.99998474121094,2500,0,8,1,35
1600668953.778662,274340,-1430.0,2500,0,7,110,51
1600668959.9996579,276912,-830.0,2500,0,6,66,36
1600668966.306248,279474,-1290.5,2495,5,8,54,42
1600668972.715698,281987,-290.0,2500,0,10,3,41
1600668978.724164,284495,-229.99998474121094,2500,0,8,0,40
1600668985.014296,287044,-670.0,2500,0,7,42,43
1600668991.239795,289649,-1190.0,2500,0,8,97,39
1600668997.455167,292173,-340.0,2500,0,14,10,35
1600669003.961809,294794,-1390.0,2500,0,17,104,43
1600669010.280113,297348,-950.0,2500,0,8,46,66
1600669016.526575,299927,-1410.0,2500,0,6,73,87
1600669022.471484,302434,-370.0,2500,0,5,2,55
1600669028.997793,305036,-1380.0,2500,0,10,92,61
1600669034.9420722,307560,-220.0,2500,0,3,21,23
1600669041.8981361,310391,-3510.0,2500,0,1,330,45
1600669048.4490519,313082,-2020.0,2500,0,3,188,36
1600669054.930349,315725,-1300.0,2500,0,7,136,12
1600669061.815902,318536,-5021.39990234375,2487,13,10,301,76
1600669068.460908,321274,-3310.10009765625,2499,1,11,227,108
1600669075.268349,324014,-2410.0,2500,0,3,237,26
1600669082.961791,327188,-7210.39990234375,2496,4,10,664,32
1600669088.888643,329705,-310.0999755859375,2499,1,9,8,29
1600669095.226505,332217,-240.0,2500,0,11,1,37
1600669101.422281,334728,80.00000762939453,2500,0,10,1,6
1600669107.342911,337268,-530.0,2500,0,5,35,38
1600669113.853386,339855,-670.0,2500,0,6,81,5
1600669119.909216,342387,-70.0,2500,0,4,28,0
1600669126.1940742,344889,-3400.0,2500,0,2,0,363
1600669132.399456,347408,-2630.0,2500,0,9,10,269
1600669138.2809129,349931,-1910.0,2500,0,14,9,193
1600669144.539205,352443,-930.0,2500,0,10,2,106
1600669150.8776472,354949,-400.0,2500,0,6,0,59
1600669156.857596,357468,-1210.0,2500,0,19,0,127
1600669163.395384,359981,-560.0,2500,0,13,0,68
1600669169.804448,362497,-1090.0,2500,0,8,8,118
1600669175.7641542,365001,-1470.0,2500,0,4,0,168
1600669182.018429,367503,-1800.0,2500,0,2,0,203
1600669187.93237,370008,-1130.0,2500,0,5,0,133
1600669194.564343,372697,-1830.0,2500,0,4,185,19
1600669201.102697,375368,-1870.0,2500,0,9,162,41
1600669207.6826081,377989,-1220.0,2500,0,6,115,26
1600669213.685424,380531,-290.0,2500,0,10,32,12
1600669220.377888,383159,-1170.0,2500,0,6,122,14
1600669226.694156,385664,-19.999988555908203,2500,0,5,0,22
1600669232.575146,388205,-290.0,2500,0,3,38,13
1600669238.816468,390747,-320.0,2500,0,5,37,15
1600669245.188204,393332,-1170.0,2500,0,2,83,57
1600669251.4305,395888,-1530.0,2500,0,6,50,122
1600669257.5944982,398454,-1020.0,2500,0,1,65,61
1600669264.109731,401028,-1100.0,2500,0,4,70,61
1600669270.394607,403585,-1000.0,2500,0,5,52,68
1600669276.357522,406137,-370.0,2500,0,3,49,10
1600669282.563925,408664,-49.999996185302734,2500,0,4,23,3
1600669288.9177248,411167,-580.0,2500,0,2,1,80
1600669296.04146,414008,-3970.10009765625,2500,0,1,340,71
1600669302.4067168,416514,-99.99999237060547,2500,0,4,2,29
1600669308.287316,419057,-270.0,2500,0,5,38,9
1600669314.4875112,421569,-49.99999237060547,2500,0,4,8,18
1600669320.690562,424116,-300.0,2500,0,1,46,8
1600669327.017119,426626,-129.99998474121094,2500,0,4,6,28
1600669333.306468,429198,-510.0,2500,0,1,71,4
1600669339.5191061,431769,-590.0,2500,0,9,62,13
1600669345.430021,434291,-59.99999237060547,2500,0,1,21,9
1600669351.68907,436795,200.0,2500,0,4,0,1
1600669358.0387661,439300,110.00000762939453,2500,0,5,0,9
1600669364.0293949,441808,160.0,2500,0,6,2,1
1600669370.574303,444315,-620.0,2500,0,7,0,80
1600669376.714865,446816,-1060.0,2500,0,1,0,130
1600669387.354583,450977,-20071.5,2500,0,34,1627,221
1600669396.174026,454436,-11800.7998046875,2500,0,4,955,166
1600669402.310833,456955,-1080.0,2500,0,2,17,114
1600669408.60039,459457,-340.0,2500,0,2,0,57
1600669415.021024,461977,-400.0,2500,0,1,19,45
1600669421.206214,464490,-109.99999237060547,2500,0,3,10,23
1600669427.708989,466995,-970.0,2500,0,4,1,117
1600669434.0441039,469517,-580.0,2500,0,9,13,61
1600669440.061805,472059,-200.0,2500,0,10,32,3
1600669446.508767,474578,-710.0,2500,0,2,17,77
1600669452.914489,477087,-170.0,2500,0,3,6,33
1600669459.036261,479595,-159.99998474121094,2500,0,5,3,33
1600669465.4144168,482096,-240.0,2500,0,1,0,48
1600669472.245389,484774,-1770.0,2500,0,6,172,24
1600669482.078273,488791,-15820.7001953125,2500,0,5,1512,20
1600669489.43291,491666,-3610.0,2500,0,4,371,11
1600669497.137749,494949,-7730.0,2500,0,4,779,15
1600669504.505515,497900,-4310.0,2500,0,20,431,5
1600669513.4692328,501425,-10510.2998046875,2500,0,5,1020,21
1600669520.236296,504251,-3200.10009765625,2500,0,6,320,9
1600669527.239605,507166,-4360.0,2500,0,6,409,46
1600669534.979234,510373,-7040.10009765625,2500,0,9,698,12
1600669541.3292658,512944,-740.0,2500,0,4,67,28
1600669547.79886,515551,-900.0,2500,0,4,103,8
1600669554.2101629,518089,-280.0,2500,0,6,32,15
1600669561.2581089,520838,-2360.0,2500,0,10,239,12
1600669567.371732,523363,-290.0,2500,0,14,11,29
1600669573.638376,525868,-280.0,2500,0,5,0,48
1600669579.646231,528372,210.0,2500,0,4,0,0
1600669586.010188,530875,-200.0,2500,0,3,0,42
1600669592.366285,533378,-790.0,2500,0,3,0,101
1600669598.627115,535882,-550.0,2500,0,4,0,76
1600669604.944853,538392,-1110.0,2500,0,6,4,126
1600669610.8412879,540894,-1080.0,2500,0,2,0,131
1600669617.248749,543394,-890.0,2500,0,0,0,114
1600669625.073736,546576,-8520.599609375,2500,0,1,681,135
1600669630.922314,549077,-1480.0,2500,0,1,0,172
1600669637.434465,551594,-450.0,2500,0,3,14,53
1600669644.022065,554243,-2860.10009765625,2500,0,4,145,152
1600669650.102156,556760,-500.0,2500,0,5,12,58
