wall_time,step,value,match,infeasible_match,mismatch,notinstock,total_removed
1602339166.7754161,10544,-81923.0,2470,30,6093,1823,1
1602339190.0788229,19632,-72316.3984375,2437,63,4553,2035,28
1602339209.0653172,27074,-55285.8984375,2441,59,3325,1617,21
1602339228.003624,34031,-51687.19921875,2428,72,3164,1293,16
1602339243.994824,39559,-33973.30078125,2467,33,2226,802,64
1602339256.84988,44541,-27942.900390625,2471,29,1529,953,47
1602339269.5225081,49359,-26553.19921875,2468,32,1367,951,42
1602339281.333579,53825,-22082.099609375,2479,21,1084,882,57
1602339292.572619,58151,-21622.900390625,2471,29,951,875,71
1602339303.498836,62405,-19481.69921875,2483,17,803,951,49
1602339315.7224672,67119,-23992.0,2481,19,801,1413,10
1602339325.378071,70845,-13481.2998046875,2487,13,621,605,17
1602339334.312607,74158,-9080.900390625,2491,9,445,368,30
1602339342.317067,77213,-5970.5,2495,5,334,221,17
1602339350.879333,80552,-9771.2998046875,2487,13,294,545,33
1602339360.049407,84207,-14903.2001953125,2468,32,378,777,40
1602339373.290399,89254,-30414.900390625,2461,39,297,2250,29
1602339387.085048,94580,-32414.099609375,2470,30,259,2567,30
1602339395.840317,97896,-11883.7001953125,2463,37,258,558,27
1602339404.796194,101277,-10431.599609375,2484,16,213,668,27
1602339413.4136472,104561,-9051.099609375,2489,11,190,594,36
1602339421.515367,107607,-7351.89990234375,2481,19,186,360,24
1602339431.037676,111120,-13172.900390625,2471,29,200,813,39
1602339439.4831202,114338,-11073.900390625,2461,39,185,533,24
1602339448.1049652,117727,-10551.599609375,2485,15,195,694,31
1602339458.664615,121666,-16091.7001953125,2486,14,137,1302,25
1602339467.888336,125282,-13952.7001953125,2473,27,166,950,34
1602339477.4948869,128954,-14222.5,2475,25,112,1060,25
1602339486.523496,132466,-13633.5,2465,35,128,884,26
1602339494.54615,135538,-8192.400390625,2476,24,76,496,32
1602339503.5185149,138921,-12403.5,2465,35,91,792,32
1602339512.599669,142430,-12822.7001953125,2473,27,92,917,28
1602339523.5167801,146487,-17532.0,2480,20,109,1448,21
1602339532.5802271,149873,-11953.2001953125,2469,31,59,827,14
1602339542.2018209,153392,-11411.2998046875,2491,9,43,976,17
1602339557.1517801,159015,-35374.19921875,2478,22,31,3092,19
1602339568.071579,163093,-17732.19921875,2485,15,42,1536,0
1602339577.338201,166649,-11401.0,2493,7,47,1009,9
1602339587.461605,170481,-14241.099609375,2492,8,34,1298,7
1602339594.738503,173268,-4161.39990234375,2486,14,19,268,14
1602339602.08598,176080,-3270.39990234375,2496,4,21,291,0
1602339611.120975,179422,-8410.2001953125,2500,0,14,828,4
1602339624.119159,184298,-25381.69921875,2497,3,25,2351,17
1602339634.876138,188334,-16811.69921875,2487,13,30,1506,0
1602339641.54658,190941,-820.0,2500,0,10,97,0
1602339648.378923,193478,-170.0,2500,0,19,18,5
1602339660.2171588,197889,-19961.099609375,2494,6,22,1889,0
1602339666.839029,200481,-730.0,2500,0,14,78,6
1602339675.137758,203669,-6830.10009765625,2500,0,23,665,10
1602339683.139853,206783,-6840.89990234375,2493,7,17,597,5
1602339692.181288,210118,-9481.2998046875,2487,13,21,814,8
1602339700.666389,213267,-7671.2998046875,2487,13,21,628,13
1602339707.998865,216064,-3240.5,2495,5,24,273,2
1602339717.311869,219654,-12171.5,2488,12,24,1066,2
1602339726.206348,223058,-9630.7001953125,2494,6,20,884,14
1602339733.57165,225885,-3100.0,2500,0,13,314,8
1602339741.06977,228708,-2980.0,2500,0,14,309,0
1602339748.622644,231533,-3400.39990234375,2496,4,9,316,0
1602339756.92837,234635,-5770.0,2500,0,11,591,0
1602339765.675149,238058,-9080.099609375,2500,0,19,904,0
1602339777.4039302,242515,-19820.5,2500,0,17,1940,0
