wall_time,step,value
1604178598.817447,2667,-25244.80078125
1604178604.6661289,5346,-27955.69921875
1604178610.4569259,7966,-25383.900390625
1604178615.456554,10305,-21823.099609375
1604178620.4653,12617,-22454.0
1604178625.147795,14744,-23156.30078125
1604178629.679132,16875,-22695.900390625
1604178635.108765,19235,-24265.099609375
1604178641.0810182,21944,-28616.0
1604178646.574785,24431,-25184.900390625
1604178652.1271648,26861,-24684.80078125
1604178658.415214,29384,-24934.400390625
1604178664.075077,31953,-24893.900390625
1604178669.7181609,34449,-26736.19921875
1604178675.4614038,37020,-26194.900390625
1604178681.18205,39635,-25724.19921875
1604178687.125822,42137,-25585.30078125
1604178693.2569191,44881,-28955.900390625
1604178699.113045,47477,-26625.099609375
1604178704.773563,49991,-26836.19921875
1604178710.119255,52380,-24204.900390625
1604178714.983681,54574,-23706.19921875
1604178720.065021,56942,-24605.400390625
1604178725.4440892,59369,-24164.5
1604178730.2113652,61458,-23607.099609375
1604178734.710897,63594,-22505.5
1604178739.476286,65673,-23096.69921875
1604178745.098729,68179,-24994.5
1604178750.0004601,70327,-22765.80078125
1604178755.338055,72816,-25615.19921875
1604178760.422164,75128,-22083.69921875
1604178765.8021271,77442,-23334.80078125
1604178770.9028978,79753,-23154.599609375
1604178775.7543292,81939,-20653.5
1604178780.0001721,83900,-18693.69921875
1604178784.227263,85874,-20775.599609375
1604178788.198262,87616,-16914.099609375
1604178792.434556,89569,-17913.0
1604178796.165314,91240,-17565.5
1604178800.991555,93421,-21154.0
1604178805.7946901,95520,-20133.80078125
1604178810.048467,97432,-18323.900390625
1604178814.297834,99341,-18333.80078125
1604178817.981998,101096,-16924.099609375
1604178822.814055,103187,-19743.5
1604178827.376054,105274,-18722.599609375
1604178832.237439,107409,-19643.099609375
1604178835.357703,108865,-13363.5
1604178839.3403919,110685,-18254.69921875
1604178844.7382588,113117,-23573.900390625
1604178849.540222,115300,-20943.80078125
1604178853.552785,117018,-16103.599609375
1604178858.383488,119130,-21004.400390625
1604178863.850073,121485,-22773.900390625
1604178866.997014,122893,-13293.900390625
1604178870.428459,124470,-15674.5
1604178873.8357608,125984,-13092.599609375
1604178876.986042,127369,-12253.2001953125
1604178879.900156,128763,-11972.7998046875
1604178883.89645,130537,-18105.0
1604178887.622265,132212,-14932.900390625
1604178891.3051882,133865,-16494.5
1604178895.587435,135691,-19395.80078125
1604178898.737896,137178,-14814.400390625
1604178902.438251,138808,-14262.7001953125
1604178905.559593,140276,-12883.0
1604178908.9576058,141736,-13183.2998046875
1604178912.9567401,143557,-18074.400390625
1604178916.651288,145201,-15583.900390625
1604178920.6593988,146976,-15472.5
1604178924.6250849,148760,-16433.30078125
1604178927.754206,150247,-12082.0
1604178931.186697,151694,-11241.7001953125
1604178935.992358,153896,-20623.400390625
1604178939.671414,155531,-16234.400390625
1604178942.5356338,156920,-12903.7998046875
1604178946.227686,158564,-15924.0
1604178949.917712,160181,-13432.099609375
1604178952.773005,161482,-9581.5
1604178955.910987,162935,-12983.2998046875
1604178959.6213179,164533,-13922.599609375
1604178963.047966,166048,-12732.400390625
1604178965.595408,167273,-9792.2998046875
1604178968.1850219,168377,-8872.7001953125
1604178971.3221061,169741,-11372.5
1604178975.6114712,171704,-18733.80078125
1604178978.493502,172985,-9371.400390625
1604178981.0757482,174145,-9402.599609375
1604178984.530179,175683,-13913.2998046875
1604178988.490006,177450,-16443.400390625
1604178990.776336,178478,-9534.0
1604178993.325205,179651,-9442.5
1604178996.191339,180965,-11132.7001953125
1604178999.9263968,182535,-14393.400390625
1604179002.200725,183656,-6590.2998046875
1604179004.778523,184739,-7882.0
1604179007.646872,186092,-11813.099609375
1604179010.79695,187475,-12303.099609375
1604179013.3656929,188565,-7601.60009765625
1604179015.669164,189624,-8893.099609375
1604179018.02894,190620,-7492.2998046875
1604179020.6625369,191855,-10362.7998046875
1604179023.602634,193123,-10542.599609375
1604179027.352732,194799,-15693.599609375
1604179030.4841862,196175,-12003.0
1604179033.350774,197419,-9331.7998046875
1604179036.4628851,198839,-11632.2998046875
1604179039.0252302,200014,-10733.7001953125
1604179042.167209,201349,-12093.400390625
1604179044.192916,202258,-5601.39990234375
1604179047.589982,203806,-12772.099609375
1604179051.2964082,205446,-16124.400390625
1604179053.572951,206574,-9112.599609375
1604179055.602986,207478,-5591.39990234375
1604179057.629326,208319,-4230.7998046875
1604179059.9344268,209387,-7351.5
1604179062.7811892,210605,-10172.7001953125
1604179064.784402,211512,-6522.39990234375
1604179068.461489,213177,-16354.400390625
1604179071.034427,214291,-9833.400390625
1604179073.042506,215173,-5931.89990234375
1604179076.160903,216696,-14243.599609375
1604179078.166069,217595,-6402.2998046875
1604179081.014396,218878,-9691.7001953125
1604179084.438259,220289,-11592.2998046875
1604179086.737678,221432,-10173.5
1604179089.02036,222426,-8243.0
1604179090.748672,223223,-5892.7998046875
1604179093.048683,224201,-6591.60009765625
1604179095.3356311,225264,-8542.7001953125
1604179097.915554,226324,-7591.89990234375
1604179100.459906,227531,-9161.900390625
1604179102.469271,228379,-5461.89990234375
1604179105.322169,229650,-10032.099609375
1604179107.610344,230765,-9793.400390625
1604179110.18683,231873,-8252.0
1604179112.190078,232786,-7753.39990234375
1604179114.4815402,233773,-8052.89990234375
1604179116.761156,234797,-8563.099609375
1604179119.057142,235859,-7641.7998046875
1604179121.067963,236718,-4641.0
1604179122.794705,237465,-3350.800048828125
1604179124.520735,238211,-3751.199951171875
1604179126.507095,239171,-5610.7998046875
1604179128.7914429,240214,-7872.2998046875
1604179131.670217,241460,-10002.400390625
1604179134.245999,242619,-8802.0
1604179136.272002,243469,-6262.60009765625
1604179137.9828749,244279,-3810.699951171875
1604179139.987735,245177,-6972.7001953125
1604179142.276769,246234,-9683.900390625
1604179144.281876,247099,-5031.2998046875
1604179146.59686,248081,-6942.0
1604179149.1500008,249245,-8721.900390625
1604179151.145984,250159,-5060.7998046875
1604179152.8729758,250892,-4281.7998046875
1604179154.874816,251833,-6572.10009765625
1604179156.604867,252589,-2760.199951171875
1604179158.0542269,253286,-3751.60009765625
1604179160.611851,254412,-8992.5
1604179162.62155,255280,-6002.10009765625
1604179165.177616,256415,-10714.2001953125
1604179168.0319722,257700,-12864.7001953125
1604179170.042727,258597,-7393.2001953125
1604179173.7450361,260290,-14952.7001953125
1604179177.433606,261995,-16063.7998046875
1604179179.9949288,263110,-10263.7001953125
1604179183.121495,264520,-13023.599609375
1604179185.973353,265728,-11073.7001953125
1604179188.8129568,267014,-12264.0
1604179191.9577239,268528,-15334.900390625
1604179194.526206,269570,-10004.099609375
1604179196.2484941,270399,-7564.10009765625
1604179198.266013,271255,-8514.5
1604179200.269671,272227,-8703.599609375
1604179202.813448,273390,-9973.0
1604179204.827638,274299,-8424.099609375
1604179206.84113,275175,-6902.7998046875
1604179210.034966,276507,-13384.7001953125
1604179212.376121,277533,-8362.7998046875
1604179214.686856,278611,-8462.5
1604179216.96035,279644,-6781.2998046875
1604179219.17965,280683,-10585.0
1604179220.8864992,281405,-4612.10009765625
1604179222.632015,282221,-5732.2998046875
1604179224.3680298,282990,-4872.0
1604179226.66346,283932,-8714.099609375
1604179228.6746712,284839,-4490.2998046875
1604179230.4071412,285626,-5152.10009765625
1604179232.4359932,286512,-6662.60009765625
1604179234.7586508,287495,-6821.89990234375
1604179236.78751,288451,-6531.7001953125
1604179238.476359,289179,-5082.60009765625
1604179240.452158,290048,-6502.7001953125
1604179242.139041,290861,-4761.5
1604179243.836372,291607,-5392.7998046875
1604179245.5456629,292458,-4941.2998046875
1604179247.835834,293489,-7582.10009765625
1604179250.201893,294422,-9775.099609375
1604179251.9697971,295275,-5231.5
1604179254.0401258,296088,-3940.800048828125
1604179255.830344,296878,-3730.699951171875
1604179257.5854132,297725,-5822.2001953125
1604179259.6013188,298568,-5431.89990234375
1604179261.620953,299450,-7353.2998046875
1604179263.913974,300459,-7672.2998046875
1604179265.912069,301432,-7953.0
1604179268.2139258,302368,-7493.0
1604179269.624557,303071,-4572.39990234375
1604179271.5988202,303945,-6042.10009765625
1604179273.321913,304724,-5132.10009765625
1604179275.0152168,305496,-5522.60009765625
1604179277.044445,306391,-7583.39990234375
1604179279.060535,307278,-6622.5
1604179281.344966,308346,-8572.599609375
1604179284.18536,309543,-10463.2998046875
1604179285.8671691,310363,-4681.2998046875
1604179288.356305,311492,-9723.2001953125
1604179292.231015,313271,-18375.099609375
1604179293.9736042,314054,-4821.89990234375
1604179295.992169,314909,-7473.60009765625
1604179298.2763011,315907,-9794.400390625
1604179301.09007,317304,-14345.0
1604179306.820779,319947,-29817.599609375
1604179310.214865,321427,-16596.30078125
1604179312.831174,322648,-11844.2001953125
1604179315.174928,323688,-9694.0
1604179318.351903,325069,-14134.7998046875
1604179321.764965,326558,-15285.099609375
1604179325.21423,328070,-14493.900390625
1604179326.972435,328949,-6812.7001953125
1604179329.598634,330007,-10014.099609375
1604179332.460333,331342,-14075.2998046875
1604179336.372766,333162,-19005.400390625
1604179341.4001741,335368,-21584.0
1604179345.5884109,337333,-18063.19921875
1604179350.882219,339753,-24695.099609375
1604179354.164751,341335,-13812.7001953125
1604179357.50687,342884,-15104.2998046875
1604179363.1269581,345399,-24844.19921875
